湖南电信,#genre#
重庆卫视HD,http://118.255.77.168:8887/udp/239.76.253.92:9000
大湾区卫视,http://118.255.77.168:8887/udp/239.76.251.72:9000
广西卫视HD,http://118.255.77.168:8887/udp/239.76.254.54:9000
广西卫视HD,http://118.255.77.168:8887/udp/239.76.247.54:1234
陕西卫视HD,http://118.255.77.168:8887/udp/239.76.254.76:9000
陕西卫视HD,http://118.255.77.168:8887/udp/239.76.247.76:1234
陕西卫视HD,http://118.255.77.168:8887/udp/239.76.251.62:9000
云南卫视HD,http://118.255.77.168:8887/udp/239.76.254.60:9000
青海卫视HD,http://118.255.77.168:8887/udp/239.76.254.132:9000
青海卫视HD,http://118.255.77.168:8887/udp/239.76.247.132:1234
甘肃卫视HD,http://118.255.77.168:8887/udp/239.76.253.94:9000
都市剧场HD,http://118.255.77.168:8887/udp/239.76.253.215:9000
生活时尚HD,http://118.255.77.168:8887/udp/239.76.253.223:9000
长沙女性HD,http://118.255.77.168:8887/udp/239.76.252.23:9000
长沙女性HD,http://118.255.77.168:8887/udp/239.76.251.146:9000
IPTV 4K电影,http://118.255.77.168:8887/udp/239.76.252.35:9000
IPTV 4K电影,http://118.255.77.168:8887/udp/239.76.245.35:1234
CGTN英语HD,http://118.255.77.168:8887/udp/239.76.252.66:9000
CGTN纪录HD,http://118.255.77.168:8887/udp/239.76.252.67:9000
湖南卫视FHD,http://118.255.77.168:8887/udp/239.76.252.115:9000
湖南经视HD,http://118.255.77.168:8887/udp/239.76.252.116:9000
湖南电视剧HD,http://118.255.77.168:8887/udp/239.76.252.118:9000
湖南电影HD,http://118.255.77.168:8887/udp/239.76.252.119:9000
金鹰卡通HD,http://118.255.77.168:8887/udp/239.76.252.120:9000
湖南公共HD,http://118.255.77.168:8887/udp/239.76.252.123:9000
湖南娱乐HD,http://118.255.77.168:8887/udp/239.76.252.121:9000
金鹰纪实HD,http://118.255.77.168:8887/udp/239.76.252.122:9000
湖南国际HD,http://118.255.77.168:8887/udp/239.76.252.124:9000
湖南都市HD,http://118.255.77.168:8887/udp/239.76.252.117:9000
IPTV广场舞HD,http://118.255.77.168:8887/udp/239.76.252.134:9000
IPTV电竞HD,http://118.255.77.168:8887/udp/239.76.252.136:9000
河南梨园HD,http://118.255.77.168:8887/udp/239.76.252.179:9000
文物宝库HD,http://118.255.77.168:8887/udp/239.76.252.180:9000
武术世界HD,http://118.255.77.168:8887/udp/239.76.252.181:9000
广东卫视HD,http://118.255.77.168:8887/udp/239.76.252.189:9000
东南卫视HD,http://118.255.77.168:8887/udp/239.76.252.190:9000
CETV-1HD,http://118.255.77.168:8887/udp/239.76.252.192:9000
安徽卫视HD,http://118.255.77.168:8887/udp/239.76.252.196:9000
辽宁卫视HD,http://118.255.77.168:8887/udp/239.76.252.197:9000
河北卫视HD,http://118.255.77.168:8887/udp/239.76.252.199:9000
贵州卫视HD,http://118.255.77.168:8887/udp/239.76.252.198:9000
卡酷少儿HD,http://118.255.77.168:8887/udp/239.76.247.81:1234
卡酷少儿HD,http://118.255.77.168:8887/udp/239.76.247.81:9000
芒果乐搜HD,http://118.255.77.168:8887/udp/239.76.252.200:9000
长沙影视HD,http://118.255.77.168:8887/udp/239.76.252.204:9000
湘西公共HD,http://118.255.77.168:8887/udp/239.76.245.209:1234
湘西公共HD,http://118.255.77.168:8887/udp/239.76.252.210:9000
IPTV电竞HD,http://118.255.77.168:8887/udp/239.76.252.214:9000
芒果乐淘HD,http://118.255.77.168:8887/udp/239.76.252.215:9000
湖南教育HD,http://118.255.77.168:8887/udp/239.76.252.233:9000
岳阳综合HD,http://118.255.77.168:8887/udp/239.76.255.7:9000
岳阳综合HD,http://118.255.77.168:8887/udp/239.76.248.7:1234
岳阳公共HD,http://118.255.77.168:8887/udp/239.76.255.8:9000
岳阳公共HD,http://118.255.77.168:8887/udp/239.76.248.8:1234
常德综合HD,http://118.255.77.168:8887/udp/239.76.255.10:9000
常德公共HD,http://118.255.77.168:8887/udp/239.76.255.11:9000
郴州综合HD,http://118.255.77.168:8887/udp/239.76.253.75:9000
郴州综合HD,http://118.255.77.168:8887/udp/239.76.246.75:1234
永州综合HD,http://118.255.77.168:8887/udp/239.76.255.23:9000
永州综合HD,http://118.255.77.168:8887/udp/239.76.248.23:1234
永州公共,http://118.255.77.168:8887/udp/239.76.255.24:9000
永州公共,http://118.255.77.168:8887/udp/239.76.248.24:1234
怀化综合HD,http://118.255.77.168:8887/udp/239.76.248.12:1234
娄底综合HD,http://118.255.77.168:8887/udp/239.76.255.18:9000
娄底公共HD,http://118.255.77.168:8887/udp/239.76.255.19:9000
娄底教育HD,http://118.255.77.168:8887/udp/239.76.255.20:9000
浏阳HD,http://118.255.77.168:8887/udp/239.76.255.6:9000
道县综合HD,http://118.255.77.168:8887/udp/239.76.255.28:9000
道县综合HD,http://118.255.77.168:8887/udp/239.76.255.13:9000
道县综合HD,http://118.255.77.168:8887/udp/239.76.248.28:1234
溆浦综合HD,http://118.255.77.168:8887/udp/239.76.255.25:9000
溆浦综合HD,http://118.255.77.168:8887/udp/239.76.248.25:1234
新化综合HD,http://118.255.77.168:8887/udp/239.76.255.31:9000
新化综合HD,http://118.255.77.168:8887/udp/239.76.248.31:1234
武冈综合HD,http://118.255.77.168:8887/udp/239.76.255.29:9000
武冈综合HD,http://118.255.77.168:8887/udp/239.76.248.29:1234
津市综合HD,http://118.255.77.168:8887/udp/239.76.255.30:9000
津市综合HD,http://118.255.77.168:8887/udp/239.76.248.30:1234
衡阳县电视台HD,http://118.255.77.168:8887/udp/239.76.255.26:9000
衡阳县电视台HD,http://118.255.77.168:8887/udp/239.76.248.26:1234
桂东融媒HD,http://118.255.77.168:8887/udp/239.76.253.231:9000
桂东融媒HD,http://118.255.77.168:8887/udp/239.76.246.231:1234
宁乡综合HD,http://118.255.77.168:8887/udp/239.76.255.57:9000
宁乡综合HD,http://118.255.77.168:8887/udp/239.76.248.57:1234
茶陵综合,http://118.255.77.168:8887/udp/239.76.255.27:9000
茶陵综合,http://118.255.77.168:8887/udp/239.76.248.27:1234
临澧综合HD,http://118.255.77.168:8887/udp/239.76.255.32:9000
